UNITNAME,code,colour
Billinooka Inlier granitic unit,A_g_PBK,#FFDFDD
Bindoo Sandstone,SD__bi_st,#A3FBE5
Binneringie Dyke,P__WIbi_o,#4BD386
Biranup Zone metagranitic unit,A_mgr_KKBB,#FEBFBA
Biranup Zone metagranitic unit,AP__mgn_KKBB,#FEBBDD
Biranup Zone metagranitic unit,AP__mgni_KKBB,#FEBBDD
Biranup Zone metagranitic unit,AP__xmggn_mgmn_KKBB,#FCC5FC
Biranup Zone metagranitic unit,AP__xmgni_mhn_KKBB,#FBA7FA
Biranup Zone metagranitic unit,P__jmgnn_moan_KKBB,#FE99CD
Biranup Zone metagranitic unit,P__jmgnn_moga_KKBB,#FBA7FA
Biranup Zone metagranitic unit,P__xmg_mog_KKBB,#FBA7FA
Biranup Zone metagranitic unit,P__xmgn_mdn_KKBB,#FBA7FA
Birrindudu Group,P__BN_sa,#E1AAC5
Bishop Creek Monzogranite,A_CEbi_gm,#F8BEE0
Bitter Springs Group,P__BS_kds,#FEDCBB
Black Dragon Gneiss,P___bd_xmgg_mgi,#FD7E75
Black Hill Well Monzogranite,A_OPbl_gm,#FD5E53
Black Range Dolerite Suite,A_BL_od,#8EE4B4
Blina Shale,R__bl_sl,#8CFADF
Bloods Range Formation,P__TJb_xmh_mv,#DAD2CF
Bobbie Point Metasyenogranite,P___bt_mgr,#FCACFC
Bonney Downs Monzogranite,A_SRbo_gm,#FD7E75
Booanya Suite,P__EPB_g,#FDB6F7
Boobina Porphyry,A_EMbo_gmap,#F492CA
Bookargemoona Tonalite,A_TAbo_mgt,#F066B6
Boolgeeda Iron Formation,P__HAo_ci,#B5E1FC
Boondawari Formation,P___bo_sepg,#EFB00D
Boongal Formation,A_FOo_bbo,#EEEFE2
Bottle Creek Microgranite,A__bc_gnap,#FEC1E1
Bradley Basalt,A_WHb_b,#FEE2A1
Brassey Range Formation,P__MVb_st,#FAD1C1
Bresnahan Group,P__BR_s,#DDD5BC
Bridget Suite,P__BG_gmh,#FE98CC
Brill Monzogranite,A_MRbr_gmp,#FE9E98
Broadhurst Formation,P__THb_shh,#D8A79B
Brockman Iron Formation,P__HAb_cib,#84CDFA
"Broome, Mowla and Melligo Sandstones",K__bm_st,#DFFEB8
Brownrigg Sandstone,P__TAb_st,#FCEFCF
Browns Range Metamorphics,P___bw_mtnf,#E2CF60
Budjan Creek Formation,A_SOb_xs_f,#FEE79F
Buldya Group,P__BU_xs_k,#EFCFA3
"Buldya Group, lower",P__BUL_sk,#FEDCBB
"Buldya Group, upper",P__BUU_sf,#FED3AA
Bullgarina Monzogranite,A_CEbu_gm,#F8BEE0
Bullock Hide Intrusion,A_RAbu_xo_a,#7CF085
Bunbury Basalt,K__bu_bb,#B3FE5A
Bungarra Igneous Complex,A__bu_xony_any,#0CCAC5
Bungle Bungle Dolomite,P___uu_kds,#E8DFE3
Bunjinah Formation,A_FOu_bbo,#E6E7D3
Burtville Terrane greenstones,A_b_YBU,#C4FEC6
Burtville Terrane greenstones,A_bb_YBU,#C4FEC6
Burtville Terrane greenstones,A_bs_YBU,#8AFE8D
Burtville Terrane greenstones,A_cc_YBU,#6BC3F9
Burtville Terrane greenstones,A_f_YBU,#FEE79F
Burtville Terrane greenstones,A_fa_YBU,#FFF3CF
Burtville Terrane greenstones,A_madt_YBU,#D3CCFD
Burtville Terrane greenstones,A_mb_YBU,#C4FEC6
Burtville Terrane greenstones,A_mbs_YBU,#3CFD41
Burtville Terrane greenstones,A_mbsr_YBU,#63FD67
Burtville Terrane greenstones,A_mfas_YBU,#FDD03E
Burtville Terrane greenstones,A_mfnq_YBU,#CFDAD7
Burtville Terrane greenstones,A_mls_YBU,#DAD2CF
Burtville Terrane greenstones,A_mnfq_YBU,#FD5AAE
Burtville Terrane greenstones,A_mrs_YBU,#FEE79F
Burtville Terrane greenstones,A_mu_YBU,#B1A6FC
Burtville Terrane greenstones,A_must_YBU,#E9E6FE
Burtville Terrane greenstones,A_mwa_YBU,#3CFD41
Burtville Terrane greenstones,A_mws_YBU,#63FD67
Burtville Terrane greenstones,A_o_YBU,#BCEED2
Burtville Terrane greenstones,A_od_YBU,#8EE4B4
Burtville Terrane greenstones,A_og_YBU,#8EE4B4
Burtville Terrane greenstones,A_s_YBU,#E3DDDB
Burtville Terrane greenstones,A_u_YBU,#B1A6FC
Burtville Terrane greenstones,A_xax_og_YBU,#BCB3FD
Burtville Terrane greenstones,A_xb_s_YBU,#C4FEC6
Burtville Terrane greenstones,A_xbb_cci_YBU,#B1FEB3
Burtville Terrane greenstones,A_xbb_gna_YBU,#B1FEB3
Burtville Terrane greenstones,A_xbb_md_YBU,#B1FEB3
Burtville Terrane greenstones,A_xbb_mgss_YBU,#B1FEB3
Burtville Terrane greenstones,A_xbb_mu_YBU,#B1FEB3
Burtville Terrane greenstones,A_xbb_og_YBU,#B1FEB3
Burtville Terrane greenstones,A_xcci_md_YBU,#9DD7FB
Burtville Terrane greenstones,A_xmb_md_YBU,#B1FEB3
Burtville Terrane greenstones,A_xmls_frn_YBU,#DAD2CF
Burtville Terrane greenstones,A_xmnqf_mgss_YBU,#CFDAD7
Burtville Terrane greenstones,A_xmos_mgss_YBU,#4BD386
Burtville Terrane greenstones,A_xmu_mb_YBU,#DED9FE
Burtville Terrane greenstones,A_xmus_mgm_YBU,#D3CCFD
Burtville Terrane greenstones,A_xmw_mc_YBU,#63FD67
Burtville Terrane greenstones,A_xmw_mf_YBU,#B1FEB3
Burtville Terrane greenstones,A_xmwa_cci_YBU,#63FD67
Burtville Terrane greenstones,A_xmwa_mdqj_YBU,#63FD67
Burtville Terrane greenstones,A_xmwa_mgss_YBU,#76FE7A
Burtville Terrane greenstones,A_xmws_mfs_YBU,#63FD67
Burtville Terrane greenstones,A_xmws_mus_YBU,#63FD67
Burtville Terrane greenstones,A_xog_bb_YBU,#BCEED2
Burtville Terrane greenstones,A_xss_cci_YBU,#E3DDDB
Burtville Terrane greenstones,A_xsty_gm_YBU,#E3DDDB
Burtville Terrane greenstones,A_xu_ci_YBU,#B1A6FC
Butcher Bird Monzogranite,A_MDbb_gm,#FECFCB
"Byro Group, lower",P_BYL_sf,#A9DCFC
"Byro Group, middle",P_BYM_sf,#A9DCFC
"Byro Group, upper",P_BYU_sf,#A9DCFC
Cadda Formation,J__cd_sf,#98FECA
Cadjebut Formation,D__cj_skcv,#ABB6FA
Caines Monzogranite,A_MRca_gm,#FE9E98
Callawa Formation,K__ca_sp,#BEFE72
Callina Supersuite,A_CL_mg,#EB3BA0
Callytharra Formation,P__ca_kt,#6BC3F9
"Cambrian--Ordovician sedimentary rocks, Ord Basin",EO_sk_OR,#EAA8DF
"Cambrian--Ordovician sedimentary siliciclastic units, Amadeus Basin",EO_sf_NA,#EFBEE7
Camel Hills Metamorphics,P__CH_xmd_mk,#D2C4C9
Campbell Well Granodiorite,A_EMcm_gg,#F492CA
Capricorn Group,P__CP_sk,#DDA365
Capricorn Orogen metamorphosed mafic intrusive unit,P__mod_CPO,#8EE4B4
Carawine Dolomite,A_HAc_kds,#CAA894
Carbana Monzogranite,A_EMca_gmp,#F492CA
"Carboniferous sedimentary rocks, Southern Carnarvon Basin",C_kt_CV,#C8D2D5
Cardinal Formation,A_SOa_sh,#DFF3CA
Cardup Group,P__CD_s,#DDA365
Carlton Group,EO_CA_sk,#EFBEE7
Carnegie Formation,P_E__cn_swq,#FFEDDD
Carr Boyd Group,P__CB_s,#F3C89D
Carranya Formation,O__ca_sp,#EEB1FE
Carrington Suite,P__CN_mg,#FEDEF8
Carson Volcanics,P__KMc_bb,#D2F4E1
Carynginia Formation,P__cg_sf,#9DD7FB
Cassidy Group,P__CA_xbb_fr,#E7BBD1
Cattamarra Coal Measures,J__cm_slh,#ADFED5
Cattle Well Formation,A_CDa_s,#FEE79F
Charteris Basalt,A_KEc_b,#B1FEB3
Chatarie Well Granite,A__ch_gm,#FEBFBA
Cheearra Monzogranite,A_STch_mgm,#FEBFBA
Cheela Springs Basalt,P__SKb_bb,#B1FEB3
Chessman Granodiorite,A_EMce_mgg,#F492CA
Chester Formation,A__cc_ml,#BFB1AC
Chiall Formation,P__EMc_ss,#CAA894
Chillerina Granodiorite,A_STci_ggh,#FEBFBA
Chimingadgi Trondhjemite,A_EMch_gt,#F492CA
Choorun Formation,P__TAc_sg,#F7D886
Chunderloo Monzogranite,A_JUcl_mgms,#FA98BE
Cistern Formation,A_CDi_xs_fnv,#FDC544
Cleaverville Formation,A_GCe_ca,#6BC3F9
Cleland Supersuite,A_CE_g,#F8BEE0
Cleland Supersuite,A_CE_mgtn,#F492CA
Cliff Pool Tonalite,A_EHcl_mgt,#FD7E75
Clutterbuck Formation,P_E__cl_sz,#FFEDDD
Cockatoo Group,D_CO_sp,#E0E4FD
Cockeraga Leucogranite,A_EHco_gtl,#FD7E75
Collie Group,P_CL_snh,#9DD7FB
"Collier Group, Depositional package 5",P__MCP5_s,#F7D7A0
"Collier Group, Depositional package 6",P__MCP6_s,#F0BA59
Colombo Sandstone,P___co_st,#FECFCB
Connaughton Zone metamorphosed mafic volcanic unit,P__xmb_md_PTRC,#D6DA84
Connaughtone Zone metamorphosed ultramafic unit,P__mu_PTRC,#D4CCFE
Constantine Sandstone,A_CDc_s,#FBDAC3
Coodardy Pool Formation,A_POc_xmtq_mi,#C8BCB8
Cooglegong Monzogranite,A_SRcg_gm,#FD7E75
Cookes Creek Monzogranite,A_SRco_gm,#FD7E75
Coolbro Sandstone,P__THc_stq,#EFDCD7
Coolyena Group,K_CY_xk_s,#E9FFD0
Coolyia Creek Granodiorite,A_CLco_mgg,#EB3BA0
Coomb Bore Monzogranite,A__cm_mgm,#FE9E98
Coomberarie Formation,P__BDc_ss,#F9DF9E
Coomberdale Subgroup,P__OAC_xss_kd,#F9DF9E
Coonabildie Formation,P__MVc_ss,#F7B297
Coondamar Formation,A_NUc_xmd_mw,#FBDAC3
Coondina Monzogranite,A_STcn_gmm,#FEBFBA
Coondra Formation,P__SUc_sg,#F9DF9E
Coonieena Basalt,A_DGc_b,#BFE695
Cooninia Inlier granitic unit,A_g_PCN,#FFDFDD
Coor-de-wandy Formation,P___cw_s,#EEE4A4
Cooya Pooya Dolerite,A_FOkc_od,#8EE4B4
Copperfield Monzogranite,A__cf_mgm,#F26EB0
Coppin Gap Granodiorite,A_EMco_gg,#F492CA
Corboy Formation,A_SOc_s,#C8BCB8
Corner Well Gabbro,A_ANwc_xol_apl,#87CDCC
Cotton Well Granodiorite,A_EMcw_ggv,#F492CA
Coucal Formation,A_WAc_f,#FEEDB7
Crossroads Granodiorite,A_SDcr_mgg,#F4BAB7
Crowhurst Group,P__CR_xs_k,#AB7355
Cue Tonalite,A_ANct_gtl,#FECFCB
Cullculli Suite,A_ANC_mg,#FFDFDD
Cundaline Formation,A_GCu_s,#D4D3A5
Cundimurra Monzogranite,A_TUcu_mg,#FA98BE
Cundimurra Monzogranite,A_TUcu_mgmu,#F76EA4
Dalgaringa Supersuite,P__DA_mg,#EFB8FA
Dalton Suite,A_DA_ma,#A699FC
Dalton Suite,A_DA_xo_a,#78DEA4
Davis Dolerite,E__dv_od,#8EE4B4
Davitt Syenogranite,A_EMda_gr,#F492CA
Day Rock Granodiorite,A__dr_gg,#FCA4F4
Deception Hill Microgranite,A__dh_gnap,#FEC1E1
Despair Granite,A__de_gmb,#FFDFDD
Devonian conglomerates associated with reef complexes,D__rc_sbp,#E0E4FD
"Devonian sedimentary rocks, Southern Carnarvon Basin",D_xs_k_CV,#CAD2FC
Diemals Formation,A__di_s,#EDE9E7
Dingo Intrusion,A_STdi_xo_a,#A5E9C3
Doolgunna Formation,P__YMd_sta,#FAE2B6
Double Bar Formation,A_WAo_b,#BCEED2
Dougalls Suite,P__DO_jmgt_mw,#FE9E98
Dresser Formation,A_WAr_xcc_b,#9DD7FB
Dromedary Bore Granite,A_THdb_mggu,#86ECD2
Duck Creek Dolomite,P__WYd_kd,#EFCFA3
Duerdin Group,P__DE_s,#F7CEA8
Duffer Formation,A_WAd_f,#FED656
Durba Sandstone,P_E_DId_st,#EFB00D
Durlacher Supersuite,P__DU_g,#FEE2FD
Durlacher Supersuite,P__DU_mog,#1EC868
Dwarf Well Granite,P__CNdw_mgm,#FEDEF8
Eastern Goldfields Superterrane greenstones,A_a_YEG,#B1A6FC
Eastern Goldfields Superterrane greenstones,A_b_YEG,#C4FEC6
Eastern Goldfields Superterrane greenstones,A_bs_YEG,#8AFE8D
Eastern Goldfields Superterrane greenstones,A_c_YEG,#6BC3F9
Eastern Goldfields Superterrane greenstones,A_cib_YEG,#099BF5
Eastern Goldfields Superterrane greenstones,A_f_YEG,#FEE79F
Eastern Goldfields Superterrane greenstones,A_fa_YEG,#FFF3CF
Eastern Goldfields Superterrane greenstones,A_fnv_YEG,#FFF3CF
Eastern Goldfields Superterrane greenstones,A_mb_YEG,#C4FEC6
Eastern Goldfields Superterrane greenstones,A_mf_YEG,#FEE286
Eastern Goldfields Superterrane greenstones,A_mn_YEG,#CFDAD7
Eastern Goldfields Superterrane greenstones,A_mnqf_YEG,#CFDAD7
Eastern Goldfields Superterrane greenstones,A_msqz_YEG,#CFDAD7
Eastern Goldfields Superterrane greenstones,A_mu_YEG,#B1A6FC
Eastern Goldfields Superterrane greenstones,A_mwa_YEG,#3CFD41
Eastern Goldfields Superterrane greenstones,A_o_YEG,#BCEED2
Eastern Goldfields Superterrane greenstones,A_od_YEG,#8EE4B4
Eastern Goldfields Superterrane greenstones,A_og_YEG,#8EE4B4
Eastern Goldfields Superterrane greenstones,A_s_YEG,#E3DDDB
Eastern Goldfields Superterrane greenstones,A_sc_YEG,#E3DDDB
Eastern Goldfields Superterrane greenstones,A_u_YEG,#B1A6FC
Eastern Goldfields Superterrane greenstones,A_uk_YEG,#BCB3FD
Eastern Goldfields Superterrane greenstones,A_up_YEG,#9080FB
Eastern Goldfields Superterrane greenstones,A_xb_f_YEG,#C4FEC6
Eastern Goldfields Superterrane greenstones,A_xb_s_YEG,#C4FEC6
Eastern Goldfields Superterrane greenstones,A_xf_s_YEG,#FEDC6E
Eastman Granite,P___ea_grl,#F4946D
Eddy Suite,P__EY_xmgg_mog,#FC8CD6
"Ediacaran--Cambrian sedimentary rocks, Officer Basin",P_E_sp_NO,#F9DF9E
"Edmund Group, Depositional package 1",P__MEP1_kt,#F0BA59
"Edmund Group, Depositional package 2",P__MEP2_sk,#F9E1B8
"Edmund Group, Depositional package 3",P__MEP3_sk,#EEB041
"Edmund Group, Depositional package 4",P__MEP4_xs_k,#F9E1B8
Eel Creek Formation,AP___ec_sf,#F5D06E
Eley Monzogranite,A_STel_gmp,#FD7E75
Elgee Siltstone,P__KMe_xsl_kd,#E6A89A
Eliza Formation,P__PGe_xfr_sp,#FEEDC9
Elizabeth Hill Supersuite,A_EH_g,#FA46BE
Elizabeth Hill Supersuite,A_EH_xgnl_gp,#FD7E75
Elsie Creek Tonalite,A_EMel_mgtn,#F492CA
Emeriau Sandstone,IP__em_st,#DFFEB8
Emu Pool Supersuite,A_EM_g,#F492CA
Eneabba Formation,J__en_ss,#ADFED5
Eramurra Monzogranite,A_MRer_gm,#FE9E98
Errabiddy Formation,P__BDe_st,#F9DF9E
Erskine Sandstone,R__er_st,#BAFCEC
Esperance Supersuite,P__EP_g,#FC91F2
Esperance Supersuite,P__EP_gr,#FEC8F9
Esperance Supersuite,P__EP_jgn_mgn,#FEC8F9
Euro Basalt,A_KEe_b,#B1FEB3
Ewington Coal Measures,P_CLe_szh,#9DD7FB
Fairfield Group,DC_FA_xk_sf,#DDE4E6
"Famennian reef complexes, marginal slope and basin facies",D__as_ktsi,#CAD2FC
"Famennian reef complexes, platform facies",D__ap_klsp,#CAD2FC
Farrel Quartzite,A_GCf_stq,#BEBD78
Fig Tree Gneiss,A_TAft_mgtn,#F066B6
Fitzgerald Peaks Syenite,A__fy_gy,#FEE286
Fitzroy Volcanics,NM__fi_i,#F7D886
Flat Rocks Tonalite,A_MBfr_mgt,#FD319A
Fly Dam Formation,P___fd_mhng,#FE95A5
Forest Belle Gabbro,A__fb_og,#A5E9C3
Forestier Bay Granodiorite,A_OPfo_gg,#FD5E53
Fortescue Group,A_FO_mos,#8EE4B4
Fortescue Group,A_FO_o,#8EE4B4
Fortescue Group,A_FO_od,#8EE4B4
Fortescue Group,A_FO_xb_s,#D5D7B6
Fortescue Group,A_FO_xo_a,#BCEED2
Fraser Range Metamorphics,P__FM_xmog_mgn,#90F2C8
Fraser Zone unit,P__mog_KKBF,#B6F4E4
Fraser Zone unit,P__xmog_mgn_KKBF,#9EF0DB
Frere Formation,P__ETf_xci_sf,#D5B9AA
Frezier Sandstone,K__fz_st,#BEFE72
Gap Intrusion,A_WAga_a,#B1A6FC
Garden Creek Monzogranite,A_CEgc_mgm,#F8BEE0
Garden Rock Monzogranite,A_BRga_gm,#FCC1D8
Garden Rock Monzogranite,A_BRga_gmp,#FCC1D8
Gascoyne Province metamorphosed mafic intrusive unit,P__mod_GA,#4BD386
Gidley Granophyre,A_FFgi_gv,#FEBFBA
Gidley Granophyre,A_FFgi_og,#A5E9C3
Giles Suite 1,P__WKg1_mog,#6EE9C8
Giles Suite 1,P__WKg1_og,#9EF0DB
Giles Suite 1,P__WKg1_xo_a,#6EE9C8
Giles Suite 2,P__WKg2_moad,#94F7D4
Giles Suite 2,P__WKg2_o,#B7FAE3
Gillam Monzogranite,A_SRgi_gmp,#FD7E75
"Givetian--Frasnian reef complexes, marginal slope and basinal facies",D__gs_ktxi,#F2D6FE
"Givetian--Frasnian reef complexes, platform facies",D__rp_kltp,#F8E6FE
Glass Spring Formation,P__MVg_st,#F9C2AC
Glasse Formation,A__al_bb,#8FF76B
Glenburgh Terrane Proterozoic unit,P__mog_GAG,#A5E9C3
Glenburgh Terrane Proterozoic unit,P__mus_GAG,#DED9FE
Glenburgh Terrane Proterozoic unit,P__mwa_GAG,#C9E2AE
Glidden Group,P__GL_s,#F1BC89
Glyde Formation,P__PUg_xbb_s,#D7E9C2
Gnanagooragoo Igneous Complex,A_ANgn_a,#EDB2CA
Gnanagooragoo Igneous Complex,A_ANgn_od,#EDB2CA
Gnanagooragoo Igneous Complex,A_ANgn_ogy,#EDB2CA
Gobbos Granodiorite,A_EMgo_gg,#F492CA
Golden Eagle Orthogneiss,A_MBge_mgtn,#FE9E98
Goodin Inlier granitic unit,A_g_YGD,#FECFCB
Googhenama Formation,P__TAg_sg,#F5D06E
Goose Hole Group,E_GH_xss_kl,#EFBEE7
Gorge Creek Group,A_GC_xci_s,#D4D3A5
Granites-Tanami Orogen granitic unit,P__gm_GT,#FE6FB8
Granites-Tanami Orogen metamorphosed igneous felsic unit,A_mrn_GT,#FE98CC
Granites-Tanami Orogen metamorphosed intrusive mafic unit,P__mod_GT,#A5E9C3
Granites-Tanami Orogen metasedimentary siliciclastic unit,P__mh_GT,#E9E9D2
Grant Group,CP_GR_sepg,#9DD7FB
Grass Flat Gabbro,A__gf_og,#9EFEA0
Greenbushes Pegmatite,A__ge_gp,#F65997
Greensleeves Formation,A_POg_f,#FDD03E
Gregory Range Suite,A_GR_gv,#FEAEA9
Gregory Range Suite,A_GR_mg,#FEAEA9
Gwynne Creek Gneiss,P___gk_xmtn_mo,#D0C5C2
Halfway Gneiss,AP___ha_mgn,#EDE9E7
Halls Creek Group,P__HC_xmd_mb,#ECE5D1
Hanns Jasper Formation,A__hj_fdvd,#FEE286
Hardey Formation,A_FOh_xs_f,#F1D8BD
Hart Dolerite,P___ha_od,#8EE4B4
Hatfield Formation,A__hf_md,#BFB1AC
Hearson Cove Monzogranite,A_MRhe_gmp,#FE9E98
Heavitree Formation and Bitter Springs Group,P__HB_xs_k,#FEDCBB
Helicopter Siltstone,P___he_sf,#FEE5D4
Hercules Gneiss,AP__NEH_mgin,#FE9E98
Hickey Ricken Granite,A__hr_g,#FEBFBA
Hidden Basin beds,P___hi_ss,#FEDCBB
High Cliff Sandstone,P__hi_st,#B5E1FC
Holmwood Shale,P__ho_sh,#84CDFA
Homeward Bound Granite,A_CLho_gf,#EB3BA0
Honeyeater Basalt,A_SOh_b,#DFF3CA
Honman Formation,A__hm_c,#72BDFD
Honman Formation,A__hm_cx,#72BDFD
Hope Campbell Orthogneiss,A_MNhc_mgni,#FEADD7
Horseshoe Formation,P__BYh_sf,#EAD6C8
Hydrothermal unit,zq,#000000
Hydrothermal unit,zqix,#000000
Illaara Formation,A__il_mtq,#DAD2CF
Illgalara Monzogranite,A_JUig_gm,#FA98BE
Ilma Formation,P__BUi_kdov,#FEE5CC
Imbin Inlier felsic volcanic unit,P__fcp_GAI,#FEEDB7
Ininti Granite,P___it_mgn,#FDADE6
Irwin River Coal Measures,P__ir_ssh,#6BC3F9
Isdell Formation,P___is_kx,#D5BE98
Jallagnoonina Granodiorite,A_STja_ggh,#FEBFBA
Jarlemai Siltstone,J__ja_sl,#DFFEB8
Jean Well Granodiorite,A_MRje_gg,#FE9E98
Jeerinah Formation,A_FOj_s,#CDCFA7
Jeerinah Formation,A_FOj_xs_b,#DDDFC4
Jenkin Granodiorite,A_EMje_gg,#F492CA
Jilyili Formation,P__MVj_ss,#FAD1C1
Jimberlana Norite,P__WIji_xo_a,#4BD386
Johansen Monzogranite,A_EMjh_gm,#F492CA
Johnson Cairn Formation,P__YWc_sl,#FCEBCE
Jones Creek Conglomerate,A__jc_s,#FEC57A
Joorina Granodiorite,A_EMjo_gg,#F492CA
Juderina Formation,P__YWj_s,#F7D7A0
June Hill Volcanics,P__WYj_b,#EFCFA3
Jungar Suite,A_JU_mg,#FA98BE
Jungar Suite,A_JU_mgms,#FA98BE
Jungar Suite,A_JU_xmg_mb,#FA98BE
Kaarnka Group,P__PK_xfr_frv,#FBCB8C
Kadgewarrina Monzogranite,A_SRkd_gmv,#FD7E75
Kaluweerie Conglomerate,P___ka_sc,#FDE00B
Kangaroo Caves Formation,A_SSc_xf_s,#FEE79F
Kantie Murdana Volcanics Member,A_NOyk_xfr_cib,#F7D886
Karalundi Formation,P__BYk_st,#DA6595
Karara Formation,P__TAk_sp,#F7D886
Karratha Granodiorite,A_CEkr_gg,#F8BEE0
Kathleen Ignimbrite,P__PUk_fr,#FEEDC9
Kathleen Valley Gabbro,A_KV_o,#8EE4B4
Kavir Granodiorite,A_CEka_mggb,#F8BEE0
Kazput Formation,P__TKa_xs_k,#E0CABF
Keep Inlet Formation,P_KUk_sepg,#D1DBDE
Keep It Dark Monzogranite,A_STki_gmp,#FEBFBA
Kennedy Group,P_KE_ss,#B5E1FC
Kennell Granodiorite,A_EMke_gg,#F492CA
Kialrah Rhyolite,A_CDk_frb,#FED656
Killara Formation,P__YMk_bb,#FEE5D2
Killi Killi Formation,P__TNk_xmh_mod,#E2DCC4
"Kimberley Group, lower",P__KML_xs_bb,#E7BE91
Kimmys Bore Monzogranite,A_SRkb_gme,#FD7E75
King Leopold Sandstone,P__KMl_st,#ECCBA7
Kiwirrkurra Formation,P___kr_sp,#D1DBDE
Knobby Sandstone,D__kn_sp,#ABB6FA
Kockatea Shale,R__kk_sl,#A3FBE5
Koolbye Formation,P__TKo_stq,#E0CABF
Koongie Park Formation,P___ke_xmf_md,#F1EDD1
"Kulail Sandstone, Dean Quartzite, Heavitree Quartzite, and Vaughan Springs Quartzite",P___hd_stq,#FFEDDD
Kulele Limestone,P__EMk_kls,#D5B9AA
Kulkatharra Dolerite,P__WKku_od,#8EE4B4
Kunagunarrina Formation,A_SSk_b,#D8FEBE
Kungarra Formation,P__TKk_sf,#D5B9AA
Kuniandi Group,P__KN_se,#F7CEA8
Kunmarnara Group,P__KR_xmd_mb,#DAE59F
Kunmarnara Group,P__KR_xs_b,#DAE59F
Kurrawang Formation,A__kw_s,#CBD3D7
Kylena Formation,A_FOk_b,#C4C798
Labouchere Formation,P__PAl_ssq,#F1D8BD
Lady Adelaide Orthogneiss,A_TAla_mggn,#F066B6
Lady Alma Igneous Complex,A_ANla_og,#7CF085
Lake Mackay Quartzite,P___lm_mtq,#CFCFD0
Lake Medcalf Igneous Complex,A__lm_og,#5DDB6A
Lalla Rookh Sandstone,A_CDl_st,#FBDAC3
Lamboo Province granitic unit,P__gnl_LM,#FE9E98
Lamboo Province mafic--ultramafic intrusive unit,P__xo_a_LM,#BCB3FD
Lamboo Province ultramafic intrusive unit,P__a_LM,#BCB3FD
Lamboo Province ultramafic intrusive unit,P__ap_LM,#A699FC
Lamil Group,P__LA_xs_k,#D09587
Lancelin Formation,K_CYl_chl,#E9FFD0
Lander Rock Formation,P___lr_mh,#EEE4A4
Langfield Group,C_LA_sk,#E3E8EA
Larranganni Formation,MZ__lr_st,#8CFADF
Leake Spring Metamorphics,P__LS_xmd_mk,#F7CEA8
